team_id,code,name,slug,league,region_zh,region_en,tier,status,player_count,logo
101388912911039804,TT,THUNDER TALK GAMING,thunder-talk-gaming,LPL,中国大陆赛区,CHINA,major,active,5,http://static.lolesports.com/teams/TT-FullonDark.png
101388912914513220,NIP,Shenzhen NINJAS IN PYJAMAS,shenzen-ninjas-in-pyjamas,LPL,中国大陆赛区,CHINA,major,active,5,http://static.lolesports.com/teams/1673425724696_NIP-Symbol-RGB-NeonYellow1.png
103461966986776720,UP,Ultra Prime,ultra-prime,LPL,中国大陆赛区,CHINA,major,active,2,http://static.lolesports.com/teams/ultraprime.png
107385769105341437,SHR,Star Horn Royal Club,star-horn-royal-club,LPL,中国大陆赛区,CHINA,major,active,1,http://static.lolesports.com/teams/1638576797331_SHRoyal_Clublogo_profile.png
109381393171241522,IMAY,I May,i-may,LPL,中国大陆赛区,CHINA,major,active,0,http://static.lolesports.com/teams/1669027590458_I_Maylogo_square.png
109474050293083908,DAN,DAN Gaming,dan-gaming,LPL,中国大陆赛区,CHINA,major,active,1,http://static.lolesports.com/teams/1670441439611_DAN_Gaminglogo_square.webp
109474070669389095,NBE,Newbee,newbee,LPL,中国大陆赛区,CHINA,major,active,0,http://static.lolesports.com/teams/1670441750179_Newbeelogo_square.png
109474110193954090,SSES,Snake Esports,snake-esports,LPL,中国大陆赛区,CHINA,major,active,0,http://static.lolesports.com/teams/1670442352258_Snake_eSportslogo_square.png
109474127173168902,SUN,Suning ,suning-,LPL,中国大陆赛区,CHINA,major,active,0,http://static.lolesports.com/teams/1670442612419_Suninglogo_square.png
111878249592959971,AG,ALL GAMERS,all-gamers,LPL,中国大陆赛区,CHINA,major,active,1,http://static.lolesports.com/teams/1707126602472_AG.png
98767991882270868,EDG,EDWARD GAMING,edward-gaming,LPL,中国大陆赛区,CHINA,major,active,6,http://static.lolesports.com/teams/1631819297476_edg-2021-worlds.png
98767991887166787,WE,Xi'an Team WE,team-we,LPL,中国大陆赛区,CHINA,major,active,6,http://static.lolesports.com/teams/1634763008788_220px-Team_WE_logo.png
98767991892579754,RNG,Royal Never Give Up,royal-never-give-up,LPL,中国大陆赛区,CHINA,major,active,2,http://static.lolesports.com/teams/1631819360134_rng-2021-worlds.png
99566404845279652,OMG,Oh My God,oh-my-god,LPL,中国大陆赛区,CHINA,major,active,2,http://static.lolesports.com/teams/1686821355861_OMG_2023_logo-01.png
99566404846951820,LGD,LGD GAMING,lgd-gaming,LPL,中国大陆赛区,CHINA,major,active,5,http://static.lolesports.com/teams/LGD-FullonDark-1.png
99566404847770461,RA,RARE ATOM,rare-atom,LPL,中国大陆赛区,CHINA,major,active,0,http://static.lolesports.com/teams/RA-FullonDark.png
99566404848691211,IG,Invictus Gaming,invictus-gaming,LPL,中国大陆赛区,CHINA,major,active,6,http://static.lolesports.com/teams/1634762917340_300px-Invictus_Gaming_logo.png
99566404850008779,LNG,Suzhou LNG Esports,lng-esports,LPL,中国大陆赛区,CHINA,major,active,7,http://static.lolesports.com/teams/1717487697003_LNGlogo.png
99566404852189289,JDG,Beijing JDG Esports,jd-gaming,LPL,中国大陆赛区,CHINA,major,active,6,http://static.lolesports.com/teams/1627457924722_29.png
99566404853058754,WBG,WeiboGaming,weibo-gaming,LPL,中国大陆赛区,CHINA,major,active,6,http://static.lolesports.com/teams/1641202879910_3.png
99566404853854212,BLG,BILIBILI GAMING,bilibili-gaming,LPL,中国大陆赛区,CHINA,major,active,7,http://static.lolesports.com/teams/1682322954525_Bilibili_Gaming_logo_20211.png
99566404854685458,TES,TOP ESPORTS,top-esports,LPL,中国大陆赛区,CHINA,major,active,6,http://static.lolesports.com/teams/1592592064571_TopEsportsTES-01-FullonDark.png
99566404855553726,FPX,FunPlus Phoenix,funplus-phoenix,LPL,中国大陆赛区,CHINA,major,active,0,http://static.lolesports.com/teams/1627457887494_7_720.png
99566404856367466,AL,Anyone's Legend,anyones-legend,LPL,中国大陆赛区,CHINA,major,active,5,http://static.lolesports.com/teams/1641199582689_.png
